Reviewer,Date,Review,English Review
judio de,3 weeks ago,"makanan yang sedap, perkhidmatan yang cepat, suasana yang baik Ã¢Â­ÂÃ¢Â­ÂÃ¢Â­ÂÃ¢Â­Â","Delicious food, fast service, good atmosphere Ã Ã Ã Ã Ã Ã Ã"
Mukmin Burhan Tajuddin,6 months ago,Shop has been updated! Clean and conducive area to talk and do discussions & meetings. Food was good freshly cooked.,Shop has been updated! Clean and conducive area to talk and do discussions & meetings. Food was good freshly cooked.
Ace Khaw,9 months ago,"Queue was long but itÃ¢â¬â¢s moving. Parking can be difficult to find. Good luck. A lot of seats available, so do not worry. Ã¢â¬Â¦","Queue was long but it's moving. Parking can be difficult to find. Good luck. A lot of seats are available, so do not worry. Ã¢â¬Â¦"
yudesh vasudiwan,11 months ago,It's alright. Decent nasi lemak. No peanuts were served which is odd because there are very few dishes the comprise of a nasi lemak anyway. Sambal was too sweet and not spicy enough for my preference. The place could be a little bit overhyped however I did enjoy my meal. Just definitely not among the best nasi lemaks I've had.,It's alright. Decent nasi lemak. No peanuts were served which is odd because there are very few dishes the comprise of a nasi lemak anyway. Sambal was too sweet and not spicy enough for my preference. The place could be a little bit overhyped however I did enjoy my meal. Just definitely not among the best nasi lemaks I've had.
Faruq Arif Tajul Ariffin,a year ago,Great nasi lemak & reasonable price. They have recently renovated the restaurant and its very cosy now.,Great nasi lemak & reasonable price. They have recently renovated the restaurant and its very cosy now.
eChe,6 years ago,"It turns out that I'm not a big nasi lemak fan, but this one was really ok, and at a very affordable price.","It turns out that I'm not a big nasi lemak fan, but this one was really ok, and at a very affordable price."
Patricia Ramali,6 months ago,"Had the beef rendang, paru and kerang. The paru was so good with the sambal. Sambal was on the sweeter side, but all in all, it was a good nasi lemak.","Had the beef rendang, paru and kerang. The paru was so good with the sambal. Sambal was on the sweeter side, but all in all, it was a good nasi lemak."
Malz Oracion,a year ago,If you were ever in KL. I highly recommend you to go and eat the most delicious Nasi Lemak here. This Nasi Lemak has been here and expanded since I was a kid. What a sustained business by the owner. Their Nasi Lemak came with different Ã¢â¬Â¦,If you were ever in KL. I highly recommend you to go and eat the most delicious Nasi Lemak here. This Nasi Lemak has been here and expanded since I was a kid. What a sustained business by the owner. Their Nasi Lemak came with different Ã¢â¬Â¦
Lokesh Bogati,6 months ago,I can say this is a family style restaurant and always crowded. I really liked the food out here and the vibe was really good. Ã¢â¬Â¦,I can say this is a family style restaurant and always crowded. I really liked the food out here and the vibe was really good. Ã¢â¬Â¦
syaheezam mohd,a month ago,Nice nasi lemak. Service is also very good.,Nice nasi lemak. Service is also very good.
Gene F. WU,8 months ago,A bit salty for fried chicken. Just canÃ¢â¬â¢t get enough of mango smoothie there ;),A bit salty for fried chicken. Just can't get enough of mango smoothie there ;)
Mohd Ridzuan,8 months ago,"Had chicken & beef rendang for supper with 5 other family members. Experienced food poisoning the day after, due to beef rendang, whilst other were okay because they did not take rendang. Ã¢â¬Â¦","Had chicken & beef rendang for supper with 5 other family members. Experienced food poisoning the day after, due to beef rendang, whilst other were okay because they did not take rendang. Ã¢â¬Â¦"
ben le,8 months ago,"We went at 8pm, though the line was long the wait wasn't. We had a disappointing experience with all three pieces of chicken being very dry and unpleasant to eat. But for a cheap and fast meal it's not too shabby, if you're worried about it being dry try the sauced chicken instead. Go to jolibee for a better chicken time","We went at 8pm, though the line was long the wait wasn't. We had a disappointing experience with all three pieces of chicken being very dry and unpleasant to eat. But for a cheap and fast meal it's not too shabby, if you're worried about it being dry try the sauced chicken instead. Go to jolibee for a better chicken time"
Zakhir Azam,8 months ago,Best Nasi Lemak in town Ã°Å¸âÅ . Free unlimited filtered Coway Water available. Has air conditioning area of which you have to pay a little bit of surcharge per person @ RM1-2 Ã¢â¬Â¦,Best Nasi Lemak in town. Free unlimited filtered Coway Water is available. Has air conditioning area of which you have to pay a little bit of surcharge per person @ RM1-2 Ã¢â¬Â¦
Abi Abdul,8 months ago,An excellent place to enjoy traditional nasi lemak in the heart of Kuala Lumpur...its a popular place with fresh fruit juices to choose from to go with your nasi lemak in addition to hot coffee or tea or other beverages. The only challenge is to find a good parking slot but quite a number of slots are there for a fee...its must try.,An excellent place to enjoy traditional nasi lemak in the heart of Kuala Lumpur...its a popular place with fresh fruit juices to choose from to go with your nasi lemak in addition to hot coffee or tea or other beverages. The only challenge is to find a good parking slot but quite a number of slots are there for a fee...its must try.
Azleen Azaidah Abdullah,3 years ago,Clean. Spacious. Quite a crowd for breakie. A little pricey for nasi lemak biasa. Nothing extra ordinary of nasi lemak. Parking is not a problem - for RM5.00 per day or can opt for RM5.00 for 3 hours. Otherwise drive along to catch a spot.,Clean. Spacious. Quite a crowd for breakie. A little pricey for nasi lemak biasa. Nothing extra ordinary of nasi lemak. Parking is not a problem - for RM5.00 per day or can opt for RM5.00 for 3 hours. Otherwise drive along to catch a spot.
Zaaba Khairuddin,a year ago,"Not the best nasi lemak in country but the location, service, staff deserve the stars. MalaysianÃ¢â¬â¢s pride.","Not the best nasi lemak in country but the location, service, staff deserve the stars. Malaysian's pride."
experia miro,3 years ago,"Good place for a good nasi lemak but parking lot not easily available, it's in kg baru where all the traditional Malay food available.","Good place for a good nasi lemak but parking lot not easily available, it's in kg baru where all the traditional Malay food available."
Sham AR,8 months ago,"Hari Ahad-12.2.2023,makan Nasi Lemak +Ayam Rendang+Sotong Sambal. Sayang nya...Sotong takde taste langsung tetapi yang lain nya okay.","On Sunday, February 12, 2023, had Nasi Lemak with Chicken Rendang and Sambal Squid. Unfortunately, the squid had no taste at all, but the others were okay."
Norazlinda Ridzuan,4 months ago,Food so far so good..tempat ada pilihan utk customer di luar atau beraircond. Selesa..,Food so far so good..the place has a choice for customers outside or talking.Comfortable ..
Pak Di,a year ago,"Nasi lemak biasa je, tapi sbb tmpt ni viral beratur panjang. Meja makan yg ada ekon kena bayar sorg singgit. Ok la kalau jenis nak rasa tmpt baru. Tp pada aku biasa2 je. Selera masing2 kan.","The nasi lemak is just ordinary, but because this place is viral, the queue is long. Each table with a fan requires an extra charge of one ringgit. It's okay if you like to try new places, but for me, it's just average. Everyone has their own taste."
anton hermawan,5 years ago,One of the best nasi lemak I have ever had... the rice and sambal is very tasty? Ikan bilis is crunchy and the sotong is very tender... recommended,One of the best nasi lemak I have ever had... the rice and sambal is very tasty? Ikan bilis is crunchy and the sotong is very tender... recommended
Q Az,2 years ago,sedap.pelbagai lauk pauk. servis laju. staffÃÂ² friendly. harga boleh tahan gak. yang penting kedai bersih dan selesa,Delicious.Speed service.Staff very friendly.Prices can be resistant.The important thing is clean and comfortable
mandu,11 months ago,"Authentic Nasi Lemak, portion is huge and fresh!","Authentic Nasi Lemak, portion is huge and fresh!"
king malique,7 months ago,Sambal n nasi lemak still maintain the standard. But for lauk kena jaga   quality ade masa masin ade masa mcm tawar sikit.,"The sambal and nasi lemak still maintain their standard. However, for the side dishes, they need to ensure the quality, as sometimes they are salty, and at other times, they taste a bit bland."
Hungry Piglet,8 months ago,"Fried the squid and the cockle lasi lemak. Was really spicy but the star of the show was the coconut rice, was so fragrant !! Paid RM13 for one bowl , be prepared for very long queues","Fried the squid and the cockle nasi lemak. Was spicy but the star of the show was the coconut rice, was so fragrant !! Paid RM13 for one bowl , be prepared for very long queues"
Muhaizal Isma Ismail,a month ago,Sedap... cekap..selesa..,Delicious ... efficient ...
Alex Lim,2 years ago,Tapau - fabulous nasi lemak esp the sauce. Delivery charge was reasonable as we ordered 10. Best nya!,"Takeaway - fabulous nasi lemak, especially the sauce. The delivery charge was reasonable as we ordered 10. It was the best!"
Aji,a year ago,One of the best place to get Nasi Lemak in KL.,One of the best place to get Nasi Lemak in KL.
Cik Faz Elias,9 months ago,"Nice place to visit, nasi lemak sedap, ayam berempah &begedil very recommended... Harge agak Keras tapi kalo sedap berbaloi laa... Parking berbayar berdekatan boleh try sebab payah nau parking area nie.. so jimat Mase walau terpaksa berbelanje lebih .. Ã°Å¸ËÂ Ã¢â¬Â¦","A nice place to visit, delicious nasi lemak, highly recommended chicken rendang, and begedil. The prices are a bit high, but if it's tasty, it's worth it. Paid parking nearby is worth trying because it's challenging to park in this area. So, it saves time even if you have to spend a little more."
Airin Ismail,a year ago,I think this restaurant is overly rated. I came from Johor to try this out and im so frustrated. Nasi lemak i tried last night is just everage taste for me and my husband. The sambal is not well cooked and the flavour is just so-so. We took Ã¢â¬Â¦,I think this restaurant is overly rated. I came from Johor to try this out and im so frustrated. Nasi lemak i tried last night is just everage taste for me and my husband. The sambal is not well cooked and the flavour is just so-so. We took Ã¢â¬Â¦
Min Atan,a year ago,"Long Q tapi cepat. Tempat selesa. Sambal little bit manis mungkin nak beri semua cahnce untuk merasa sambal dia kot. Ada 2 section, satu berhawa dingin satu lagi yang biasa. Yang berhawa dingin ada additional charge, RM 1/person. Anak2 below 10 xyah bayar. Overall oklah. Berbaloi untuk mencuba tapi untuk repeat terpulanglah","Long Q but fast.Comfortable place.The sweet little bit of sweet bit may want to give it all to taste the sambal.There are 2 sections, one air -conditioned one.The air -conditioned there is an additional charge, RM 1/person.Children below 10 payments.Overall is ok.It's worth trying but to repeat it is up to"
SYUKRI HAIQAL,a year ago,"Worth the hype, very dellicious nasi lemak.","Worth the hype, very delicious nasi lemak."
Maturos Mathurasai,4 years ago,The best Nasi Lemak I ever had. Highly recommended. The smoothie in front of the shop is also nice.,The best Nasi Lemak I ever had. Highly recommended. The smoothie in front of the shop is also nice.
Jerry Oh,11 months ago,Food was nice but a little costly. There are also some other eateries nearby.,Food was nice but a little costly. There are also some other eateries nearby.
Denz Blues,4 years ago,Not so good...tipu je..kucewa....ada yg terlebih manis and terlebih masin..not my taste de. Not recommended for nasi lemak lover@hunters.,Not so good... just deception... disappointed.... Some are overly sweet and overly salty... not my taste. Not recommended for nasi lemak lovers or hunters.
danyl gan,2 months ago,I pack three portions of their already famous nasi lemak.,I pack three portions of their already famous nasi lemak.
Zulaika Zainal,a year ago,"Sambal dia tak sedap. Manis sangat2, rasa mcm kuah satay/percik without kacang. Haha. I rasa people accidently come here sbb nasi lemak antarabangsa tutup. Nasi ok lah, wangi. Tp sambal dia, tak mcm nasi lemak biasa kita makan, yg pecah Ã¢â¬Â¦","Their sambal is not good. Too sweet, tastes like satay/rojak sauce without peanuts. Haha. I think people accidentally come here because the international nasi lemak place is closed. The rice is okay, fragrant. But the sambal, it's not like the usual nasi lemak we eat, the one that bursts with flavor."
Suzie Ayub,8 months ago,"Service laju, org yg tolong kemaskn meja pon standby je wat keje. So kita xyah tunggu or carik2 meja lps byr. Hari saya g juice kaunter black out, ao xdpt mnum avocado coklat Ã°Å¸Ëâ¦ Ã¢â¬Â¦","The service is fast, and the person who helps set the table is always ready to do the job. So, we don't need to wait or search for a table after paying. On the day I went, the juice counter had a blackout, so I couldn't drink the chocolate avocado. ??..."
Arif Md Disa,a year ago,A bit pricey but worth the hype. Ayam goreng rempah sedap Ã°Å¸âÂ. Sambal ada rasa hangit sikit tapi sedap la dia jadi macam kelainan. Not too burnt tapi hangit dia sedap2 je. Tak tau lah memang tu signature dia ke apa. Overall good experience. Ã¢â¬Â¦,A bit pricey but worth the hype.Spice fried chicken. The sambal is a little warm but it tastes like a lot of things.Not too burnt but it was warm.I don't know what he's signature.Overall Good Experience.Ã¢ â¬ Â¦
Khairul Azhar,5 years ago,Taste is okay and a bit expensive. You can find much better place nasi lemak than here. Better you buy on the street nasi lemak.,Taste is okay and a bit expensive. You can find much better place nasi lemak than here. Better you buy on the street nasi lemak.
Nurul Syazana Roshidi,7 months ago,"The sambal not so delicious for me, but when it comes together with rendang ayam,begedil it's really awesome unless the red sambal","The sambal not so delicious for me, but when it comes together with rendang ayam,bergedil it's awesome "
Irwan Studio,7 months ago,It one of the best nasi lemak in KL!! Totally recommended!! Everything was soo delicious and the price is affordable too if compare to living in kl food price. Everyone must try at least once before they leave KL! Or u stay kl but never being here before!!,It one of the best nasi lemak in KL!! Totally recommended!! Everything was so delicious and the price was affordable too if compared to living in kl food price. Everyone must try at least once before they leave KL! 
marche ck,4 months ago,They got the rice right! Fluffy and fragrant! Price is on the higher side though because this is tourist area.,They got the rice right! Fluffy and fragrant! Price is on the higher side though because this is tourist area.
Fatihah Shaari,2 years ago,"Clean environment, delicious nasi lemak. But make sure you are already fully vaccinated to dine in here.","Clean environment, delicious nasi lemak. But make sure you are already fully vaccinated to dine in here."
Lukas LimCheeHao,11 months ago,Not the best Nasi Lemak I've had. But it is a cheaper option with quite a turnover rate. People all walks of life come here and to eat and go. The cats are the main attraction of the eatery,"Not the best Nasi Lemak I've had, but it is a more affordable option with a quick turnover. People from all walks of life come here to eat and leave. The cats are the main attraction of the eatery."
Suzanne Ooi,2 years ago,Best nasi lemak in KL! Rice is very fragrant and lemak and sambal is amazing.,Best nasi lemak in KL! Rice is very fragrant and lemak and sambal is amazing.
Mohd Fairuz,6 months ago,"Overated personally , my housing area a makcik nasi lemak is tastier , the shop feel so heaty , very hot , two person rm24","Overrated personally. The nasi lemak from a makcik in my housing area is tastier. The shop feels very hot. Two people, RM24."
Ar nur zahidah saidin,a year ago,Nice..the sambal not spicy a bit sweet....quite pricey,Nice..the sambal not spicy a bit sweet....quite pricey
I Z,a month ago,"Must try if come to KL.You will be super surprise, especially if you are Indonesian, the Chicken is big. I mean it is BIG.The sambal is not the spicy type, but it is good.I will definitely come and eat here again.","Must try if come to KL.You will be super surprise, especially if you are Indonesian, the Chicken is big. I mean it is BIG. The sambal is not the spicy type, but it is good.I will definitely come and eat here again."
Zamani ZK,11 months ago,"Best wooo Ã°Å¸âÂ #sedap Cuma klu sampai lps kul 8, mmg beratur pjg larrr Ã°Å¸Â¤Â­ Ã¢â¬Â¦","Best indeed! ?? #delicious. However, if you arrive after 8 o'clock, be prepared for a long queue. ????"
Suzanne Sujatha Fam,10 months ago,Came here on a weekday for their Nasi Lemak. It's a must try when you are in Kampung Baru. Very clean and well organised. They also provided dining in air-cond but with a small fee.,Came here on a weekday for their Nasi Lemak. It's a must try when you are in Kampung Baru. Very clean and well-organized. They also provided dining in air-cond but with a small fee.
J PG,8 months ago,"Incredible place. You have to get the mango smoothie, life changing deliciousness","Incredible place. You have to get the mango smoothie, life changing deliciousness"
salmiah mat alwi,4 years ago,Nasi lemak sedappp. Sambal manis. Saya makan sambal kerang pun sedap. Nasi lemak biasa tu come together with either telur rebus or telur goreng. Ikan bilis tak kedekut.,Fat rice is delicious.Sweet sambal.I ate the shellfish sauce.Normal fat rice comes together with either boiled eggs or fried eggs.The anchovies are not stingy.
Zhn,a year ago,"Review jujur, sy peminat nasi lemak wanjo semasa saya stay di Kg Baru 2017-2020. Rasa heaven bila dapat makan masa tu. 2022 sy datang semula, kedai dah makin besar. Tahniah. Ã¢â¬Â¦","Honest reviews, I fans of Nasi Lemak Wanjo while I stayed in the Kg Baru 2017-2020.It feels heaven when you can eat that time.2022 and back, the store is getting bigger.Congratulations.Ã¢ â¬ Â¦"
Sanaa Mraiheen,7 months ago,Very good food !! And the banana smoothie was really good !,Very good food !! And the banana smoothie was really good !
Akmal Ramlel,8 months ago,"IÃ¢â¬â¢ve always had such a pleasure experience dining here until this evening, when a staff appearing to be in his middle age, grey beard, called me out in the public only to accuse I didnÃ¢â¬â¢t pay rm3 fee for the AC room, which mind you didn't Ã¢â¬Â¦","I've always had such a pleasant experience dining here until this evening when a staff member, appearing to be in his middle age with a grey beard, called me out in public only to accuse me of not paying the RM3 fee for the AC room"
Nurul Adibah,3 months ago,"i liked it. the nasi lemak is good, and the queue is super fast","i liked it. the nasi lemak is good, and the queue is super fast"
Irving Santiago,3 years ago,The Nasi Lemak with beef is worth the trip to Kuala Lumpur. The small salted fried fish are addictive.,The Nasi Lemak with beef is worth the trip to Kuala Lumpur. The small salted fried fish are addictive.
Anne Aziz,a year ago,"Restaurant can be considered quite clean. Maybe toilet can be improved. To judge the nasi lemak itself, i can say itÃ¢â¬â¢s pretty good. Love the sambal. Chicken and beef menu might be too popular for you but IÃ¢â¬â¢d recommend to try their sambal kerang. Price also not bad. Overall, good place for nasi lemak. Recommended.","Restaurant can be considered quite clean. Maybe toilet can be improved. To judge the nasi lemak itself, i can say it's pretty good. Love the sambal. Chicken and beef menu might be too popular for you but I'd recommend to try their sambal kerang. Price also not bad. Overall, good place for nasi lemak. Recommended."
Lala Item,4 months ago,The best nasi lemak.. the price is not expensive..,The best nasi lemak.. the price is not expensive..
alianurhazirah,a year ago,Kedai besar & teratur sistem nya. Sambal sedap cuma nasi sikit even dah minta tambah nasi huhuhuhu. Overall okay lauk banyak,"The shop is spacious, and its system is organized. The sambal is delicious, but the rice portion is small even though I asked for an extra serving. Overall, the variety of dishes is good."
Mohd Suffian,5 months ago,Very simple and straight forward... Tasty and delicious... Suitable for the whole family... Will definitely come again,Very simple and straight forward... Tasty and delicious... Suitable for the whole family... Will definitely come again
Muhammad Shahir,a year ago,Nasi lemak dengan rasa dan identiti tersendiri. Pada pendapat saya nasi lemak ini lebih mesra pelancong.,"Nasi Lemak with its taste and identity. In my opinion, this fat rice is more tourist friendly."
Akhilesh Indupalli,10 months ago,My favourite place for a tummy full meal for a cheap price.,My favourite place for a tummy full meal for a cheap price.
Khairi Zulfadhli,4 years ago,Ayam goreng terlalu berminyak. Sambal sedap. Bulan puasa buka dari 3.30 petang ke 5.30 pagi waktu imsak.,"The fried chicken is too oily. The sambal is delicious. During the fasting month, they open from 3:30 pm to 5:30 am for the pre-dawn meal (sahur)."
Khairiyatun Akhiruddin,7 months ago,Took friends from overseas here. They loved the nasi lemak. A nice place to take a meal before a stroll to Salome bridge,Took friends from overseas here. They loved the nasi lemak. A nice place to take a meal before a stroll to Salome bridge
nurul nabila,a year ago,Not as good as i expected. Sambal taste a bit weird. Wont repeat,Not as good as i expected. Sambal taste a bit weird. Wont repeat
Sham Samsudin,a year ago,Nasi lemak sedap. Servis cepat. Pergi hari biasa tak ramai orang. Parking RM5 berhadapan kedai. Boleh parking tepi jalan tapi hati-hati takut kena saman dengan DBKL.,"Delicious nasi lemak. Fast service. Going on regular days means fewer people. Parking is available for RM5 in front of the shop. You can also park on the side of the road, but be careful not to get fined by DBKL."
Romie Shariffkhan,2 years ago,Nice and Good place for eat nasi lemak. The sambal is nice sweet good for all people.,Nice and good place to eat nasi lemak. The sambal is nice sweet good for all people.
Nadzreen Zaini,9 months ago,"food was great as usual, but worker who served the food was unreasonably moody. asked for telur goreng but she said itÃ¢â¬â¢s finished when the telur goreng was clearly still there at take-away section. potong mood nak makan. Ã¢â¬Â¦","food was great as usual, but worker who served the food was unreasonably moody. asked for fried egg but she said it was finished when the fried egg was still there in the take-away section.  Ã¢â¬Â¦"
Serena Aiman,a year ago,"Service was efficient despite the crowd, food was great with lots of options, and have to mention that this place is CLEAN!","Service was efficient despite the crowd, food was great with lots of options, and have to mention that this place is CLEAN!"
cikkiwee akuro,9 months ago,Masih mengekalkan keaslian rasa nasi lemak. Lemak kt nasi just nice. Harga FahamÃÂ² sendiri lah. Haha Ã¢â¬Â¦,"Still maintaining the authentic taste of nasi lemak. The richness in the rice is just right. The price, well, you understand it yourself. Haha..."
Jason Chiew,a month ago,"Food not my personal liking, service was great though. Ã°Å¸âÂ Ã¢â¬Â¦","The food does not follow my liking, service was great though. Ã°Å¸âÂ Ã¢â¬Â¦"
Annuar Annuar,7 months ago,"Nasi lemak padu, service cepat.. Terbaikkk...","Solid nasi lemak, fast service.. Excellent..."
Jannah Azmi,a year ago,Best nasi lemak in town Ã°Å¸Å½â°Ã°Å¸Å½â°Ã°Å¸Å½â° Ã¢â¬Â¦,Best nasi lemak in town 
Abdul Ghafar Arshad,11 months ago,Delicious nasi lemak with great atmosphere,Delicious nasi lemak with great atmosphere
Kharil Ashidi Abdul Jabar,10 months ago,"The sambal is not cooked right, the rice are lacked of coconut milk, and the price is truly a ""kayangan"" price. Over RM50 just for 3 people who took fried chicken for my daughtet, ""limpa"" for me and squid for my wife, with only 2 drinks, Ã¢â¬Â¦","The sambal is not cooked right, the rice are lacked of coconut milk, and the price is truly high. Over RM50 just for 3 people who took fried chicken for my daughter, ""limpa"" for me and squid for my wife, with only 2 drinks, Ã¢â¬Â¦"
hasnah harun,8 months ago,Nasi lemak is more to healthy side. No smell of coconut milk or daun pandan. Price also a bit pricey. Normal nasi lemak is Rm5+ and with ayam or daging is Rm10+,Nasi lemak is more to healthy side. No smell of coconut milk or daun pandan. Price also a bit pricey. Normal nasi lemak is Rm5+ and with ayam or daging is Rm10+
Azmil Pian,5 months ago,The best nasi lemak at kampung baru and must try once,The best nasi lemak at kampung baru and must try once
Kareem Ibrahim,11 months ago,The Nasi leamak was overpriced and not that good as the chicken was cold and one more thing take care not to dine  in their air conditioning area as they will charge you RM 1 per person! Avoid eating here as there are better options around,The Nasi lemak was overpriced and not that good as the chicken was cold and one more thing take care not to dine in their air conditioning area as they will charge you RM 1 per person! Avoid eating here as there are better options around
Simon Medin,11 months ago,"Food cost for 4 person is below rm 50, with drinks - the usual cordial, air bandung, or lime water. The bergedil / perkedel was amazing! Liver was chewy, sambal was sweet as for my taste. Great experience as it was legit kampung baru nasi lemak. It cost extra rm 1 per person for the air-conditioned rooms.","Food cost for 4 person is below rm 50, with drinks - the usual cordial, air bandung, or lime water. The bergedil / perkedel was amazing! Liver was chewy, sambal was sweet as for my taste. Great experience as it was legit kampung baru nasi lemak. It cost extra rm 1 per person for the air-conditioned rooms."
Zahir Ae,3 months ago,Sedap tapi bukan rasa nasi lemak yang asli..,It tastes good but not the taste of the original nasi lemak ..
adiba wajihah binti ramli,a year ago,"Beratur panjang even on weekday, 1st time cuba, tak sangka sambal dia rasa agak masam, banyak asam jawa agaknya. Mcm sambal kedai mamak, kalau korang mkn nasi lemak kedai mamak, mcmtulah sambal dia kat wanjo ni. Bukan jenis pecah minyak Ã¢â¬Â¦","Long queue even on weekdays, tried it for the first time, didn't expect the sambal to taste slightly sour, probably due to a lot of tamarind. Similar to the sambal at mamak stalls, if you've had nasi lemak at mamak stalls, the sambal at Wanjo is like that. Not the type that separates oil..."
Lai Keat,8 months ago,"Very clean environment, lots if fan to keep you cool. Nasi lemak is very nice, sambal too sweet, beef rendang is very delicious","Very clean environment, and lots of fans to keep you cool. Nasi lemak is very nice, sambal too sweet, beef rendang is very delicious"
deela xiaojie,a year ago,"Biasa2 je lah. Nasi tak wangi, lauk biasa2 je rasa. Mahal. Nasi biasa kosong RM5. tambah telor mata dah RM8. tak silap gitu. Hmm. Tak baloi pi. Tapi sebab popular, boleh try atleast once okay.","It's just average. The rice isn't fragrant, and the dishes taste ordinary. It's expensive. Plain rice costs RM5. Adding fried eggs makes it RM8, if I'm not mistaken. Hmm. Not worth it. But because it's popular, you can try it at least once, okay."
Koh Yee Chuan,9 months ago,"They have amazing grand restaurant tables and floor areas for nasi lemak lovers, by far this is a restaurant capitalizing on sole Nasi Lemak so far I found in KL downtown. The location and set up is appropriate for visitors from other Ã¢â¬Â¦","They have amazing grand restaurant tables and floor areas for nasi lemak lovers, by far this is a restaurant capitalizing on sole Nasi Lemak so far I found in KL downtown. The location and set up is appropriate for visitors from other state Ã¢â¬Â¦"
SMA,a month ago,"Great place to be with friends and family. Just as a heads up, parking is tough to find here in Kg Bharu. Also the queueing line might be long too during week nights at Nasi Lemak Wanjo.","Great place to be with friends and family. Just as a heads up, parking is tough to find here in Kg Bharu. Also the queueing line might be long too during week nights at Nasi Lemak Wanjo."
Basyar Abu bakar,5 months ago,"Came here twice. Nasi lemak okay sedap, service out.","Came here twice.Nasi lemak is okay, service out."
Intan Zetty,a year ago,"The food taste good, the one that disappointed is the sambal. For me that have low tolerance with spicy, the sambal is too sweet. Also, for the price might be reasonable with the shop location. But for me, the portion is very small compared Ã¢â¬Â¦","The food tastes good, but what disappointed me is the sambal. As someone with low tolerance for spiciness, the sambal is too sweet. Additionally, considering the shop's location, the price might be reasonable. However, the portion size is very small "
Jennifer Lai,4 years ago,The nasi itself smell nice and taste good. Love the curry sotong. Mix curry sauce is recommended. Fried chicken taste soso but portion is big.,The rice itself smells nice and tastes good. Love the curry sotong. Mixing curry sauce is recommended. Fried chicken taste average but portion is big.
Abdul Rauf Abdullah,a year ago,"Best nasi lemak in kl town. After renovation this place has a fresh & vibrant face lift. Very clean, bright and airy. Food taste is excellent & so too the service as the long queue is such a breeze. Worth the money & time. Ã°Å¸âÂÃ°Å¸Ëâ° Ã¢â¬Â¦","The best nasi lemak in KL town. After renovation, this place has a fresh and vibrant facelift. It's very clean, bright, and airy. The food taste is excellent, and so is the service, as the long queue is such a breeze. It's worth the money and time. ????"
Izza Hisyam,3 months ago,"Nasi dan sambal makin lama makin sikit,x macam mula2 dulu","The rice and sambal are getting lesser over time, not like how it used to be initially."
arielloh,a year ago,Not sure what so special about this nasi lemak maybe is the location or environment.  Might be i had tried the nasi lemak from kampungs or from pahang so i find it nothing so special or hype. The rice not much fragrant and same to the Ã¢â¬Â¦,Not sure what so special about this nasi lemak maybe is the location or environment.  Might be i had tried the nasi lemak from village or from pahang so i find it nothing so special or hype. The rice not much fragrant Ã¢â¬Â¦
Nora Ixora,6 months ago,"tempat besar dan bersih. apa yang kami suka cuma jus buah. nasi biasa, sambal cair dan bnyk lauk masin.","Big and clean place.All we like is just fruit juice.Normal rice, liquid sauce and salted fish."
KH LEE,5 years ago,Nice nasi lemak. One of the best I had in KL. Thumbs up,Nice nasi lemak. One of the best I had in KL. Thumbs up
Ty C,11 months ago,Popular Nasi lemak restaurant at Kampung Baru. Very efficient in serving customers despite long queue in the morning and clean. Parking is a challenge. Better go there via Kampung Baru LRT which just 8 minutes walk.,Popular Nasi lemak restaurant at Kampung Baru. Very efficient in serving customers despite long queues in the morning and clean. Parking is a challenge. Better go there via Kampung Baru LRT which just 8 minutes walk.
Nazif Fuad,a year ago,"The place is very neat and clean. Very comfortable. Service laju. Makanan bagi aku tak berapa sedap. Aku pun taktau la, masin. Tak habis aku makan adeh.","The place is very neat and clean. Very comfortable seating and service. As for the food, it's not as delicious as I expected. I couldn't finish eating, to be honest."
Roland G Djaki,3 months ago,"Always long Q for breakfast, other 'makan' time ok. The food satisfactory Ã°Å¸Ëâ¹ Ã¢â¬Â¦","Always a long queue for breakfast, but other meal times are fine. The food is satisfactory. ??"
Karenina Yusuf,a year ago,"Nasi and sambal taste good, but sambal kerang taste bit burnt and too overcooked, sambal sotong was so so.","Nasi and Sambal Taste Good, but Sambal Taste a Bit Burnt and Too Overcooked Sambal Taste, Sambal sauce Was average"
GC Tan,3 years ago,The portions arenÃ¢â¬â¢t too big which is a good thing. Sambal is spicy. Sotong is ok. Tanglin is better.,The portions aren't too big which is a good thing. Sambal is spicy. Sotong is ok. Tanglin is better.
Nurul Atiqah,10 months ago,Tried this last night. DidnÃ¢â¬â¢t have to queue for long. The service was smooth. The rice was fragrant and tasted fine. The chicken was quite overcooked and the sambal was sweet for me.,Tried this last night. Didn't have to queue for long. The service was smooth. The rice was fragrant and tasted fine. The chicken was quite overcooked and the sambal was sweet for me.
Syahida Zulkifly,4 years ago,RM4 for nasi lemak & telur. RM4 for ayam. Expensive and taste is so-so only.,RM4 for nasi lemak & egg. RM4 for chicken. Expensive and taste is average only.
miiyuh,9 months ago,"One of the top choices to go searching and eating nasi lemak in KL. Mouth-watering food that you can choose from chicken to squids as side with the nasi lemak in Kampung Baru. Operation hours are very long, 06:30 AM until 01:00 AM! ur trolling that u say u cant go here cuz of lack of time bruuuu. Sangat Sedap.","One of the top choices to go searching and eating nasi lemak in KL. Mouth-watering food that you can choose from chicken to squids as side with the nasi lemak in Kampung Baru. Operation hours are very long, 06:30 AM until 01:00 AM! "
Iszahar Abdullah,3 weeks ago,Best Nasi Lemak in town but might be a tad expensive for locals,Best Nasi Lemak in town but might be expensive for locals
