Reviewer,Date,Review
Kjazmie Kamsar,a year ago,"This Nasi lemak are Good but sadly the take away queue were too long, I'm standing 45 minutes but still did not get my nasi lemak, the managment need to improve their services, so far i noticed only 2 workers attending take away customers.."
Maimunah Abu Bakar,2 years ago,"Nasi nya sedap dan lembut sambal pun sedap dengan berbagai pilihan lauk2 Saya suka sambal sotong dgn limpa sekarang dah ada fresh juice,ice cream teh tarik dia terbaik kedai pun dah bertambah selesa Tak sabar nak makan di kedai I likeeeeee ??"
Fizal Jamel,a year ago,"One of my personal favourite nasi lemak shop. The soft and fragrant rice combined with the delicious beef rendang and sweet and spicy sambal, it's just superb. Delicious."
Alia Shafie,3 years ago,The nasi lemak tasted plain white rice and the sambal was just ok. Portion also too little for6 a basic RM4 per plate. It was not to my expectation as the place was too overated in social media...not recommended for nasi lemak lover. Normal roadside stall tasted better.
Khairunnisa Begum,9 months ago,"Food was fine, nothing great. Big portion. Clean and comfy. Pay 1rm and u get to sit at the air conditioned area"
Sp Saamy,7 months ago,Its not a satisfied visit. The nasi lemak don't taste like Malaysian.
Agros Banu,a year ago,The first time I ate their nasi lemak wif ayam goreng was nice.. But second time the chicken doesn't taste the same and their sambal was too sweet.. The third time their ayam goreng was burnt and hard to chew.. And there was hair in my daughter's nasi lemak.. Seems like the quality is not same as first.. And taste differs each time.. disappointed..
mohammad hairi ahmad,a year ago,"Tempat yang sesuai untuk sejumlah yang ramai kerana tempat yang besar, meja makan yang banyak dan 'turn over' yang cepat. Masa menunggu tidak lama. Nasi lemak ok cuma sambal 'kureng' berkenan sikit."
Rafika Roslan,3 years ago,"2 stars because their nasi lemak just taste ok. Nothing special. Not worth my time to find parking and have to queue for food. Their avocado smoothies is the worst i ever taste! They use unripe avocado. It taste extremely bitter. End up have to throw away , waste my RM7"
Farhan Zulkifli,a year ago,"Good nasi lemak with necessary condiments (ground nuts, fried anchovies, cucumber, boiled egg).Sambal is little bit sweet but still tasty.Overall not the best nasi lemak but still enjoyable to eat"
Tasnim L,4 years ago,"We visited on a sunday morning. There was already a queue at 830am, though it was well managed by the staff. As for the food, we generally like the side dishes (rendang,ayam merah,begedil and paru) though it was disappointing that they weren't warm and was pretty much cold"
Echa Syaidatull,3 years ago,Biasa biasa. Tapi harga agak mahal compare dengan nasi lemak biasa kedai Mamak.
Luqman Khalid,a year ago,The rice was nice and fragrant..... But the sambal just average..... Bit pricey.... But understandable because it's steam rice and big ikan bilis.... Bergedil sedap giler... Must try
Izzatul hazwani,a year ago,"Nasi lemak sedap cukup rasa, ayam goreng rangup. Tapi yang paling best memang sambal dia. Harga pun berpatutan"
hashidah abdul razak,a month ago,The taste is too salty. It's too pricy.Parking: No parking lot
Mohd Redzuan,2 weeks ago,"Nasi ok,tp sambal manis,"
Azzyan Mohamad Wahid,a year ago,"Nasi lemak sedap. Rasa lain dr biasa. Pilihan lauk pun byk.Recommanded.Tempat bersih, selesa & luas.Ada surau & bilik air yg bersih.Sesuai utk kunjungan family & grouping"
Muzhafar Azhar,2 years ago,Cozy and clean. The nasi lemak was the best in KL. Even price to be compare with normal stall quite expensive. But its worth the pay. Recommended for first time who come to KL Kg Bharu. Must Try !!!
Yasha Yasuhiro,5 months ago,A famous restaurant boleh try makan nasi lemak malam
saif zalizan,a year ago,Menu nasi lemak yang cukup enak dengan pelbagai jenis lauk pauk sebagai pilihan untuk dinikmati ketika berkunjung ke sini.
Rabiatul Adawiyah,2 years ago,Love this place. The best Nasi Lemak.
rozie Ahmad,2 years ago,Selesa but panas sbb xde aircond ?.Makanan ok. Biasa je.
radzi rashid,4 years ago,The Best Nasi Lemak in Town
Nordin Masre,a year ago,"Please, if you do have big appetite (even for a small stomach) , do ask for additional rice (nasi tambah). I'm pretty sure you won't regret it. The rice smells good, the shop is pretty clean and neat."
Sam Mohamed,a year ago,So so nasi lemak and lauk. Price also okay. But the beef rendang is too chewy. Ayam merah is pretty nice
Kamal Yusof (eskae),2 years ago,"Not bad. Was told amazing stories about the restaurant but didn't meet my expectation. I believe the rate is just 3 star. Staff not so warm servicing you, 3 star food. Probably the variety of lauk why people rate so high.."
Syuk RGV,a year ago,Nasi lemak dia mmg sedap.. nasi serui2 x lembik.. makan mmg puas sbb bnyk pilihan lauk kat sini.. yg nk jaga diet jgn dtg.. nnt lari diet
Hadif Irfan (hdfn),a year ago,Good place to have nasi lemak. Variety of addons/lauk. Fast service. Got free water dispenser too for the customer there ??
MOHD SUHAIMI KEMAT,a year ago,Harga dah melantun2 naik. Tp rasa masih sama. Dulu nak mkn hari2 ok je. Skrg nk mkn tunggu betul2 rasa nk mkn baru dtg. Kan best kalau ada special rate utk org Kg.Baru. ??
Wong KC,2 years ago,Best Nasi lemak in KL. Has overtaken Nasi lemak international that is next door. Should try their sotong and beef. You need to ask for more rice which they charge extra. Our office buys this in 80 packs for our staff meeting. They will deliver to your office even in the evening . Somehow it taste better in a packet which users banana leaf . Must be the blend of aroma with the banana leaf with the sambal . Must try if you are nearby
Joshua Soo,4 years ago,"Love the rice in the nasi lemak, probably the most fragrant I had. However, the rest of the stuff is probably average at best. Prices aren't that cheap, but then that's to be expected in the middle of KL. Keep your expectations reasonable on the store hygiene and you'll be alright here. Else, if you're willing to travel then Village Park is a better option."
Izham Ajmaan,8 months ago,"Packed but fast service.Affordable price, and tastes good.Heavy traffic on the way to here. For me, it is one off visit"
Raz Yaacub,4 years ago,"In my opinion both this place and its neighbor Nasi Lemak International are over hyped. They are average at best. It’s ironic, the Lemak is missing from the Nasi Lemak. Both sambals are competent enough though. If I have to choose, the "
puteri athirah,a year ago,Nasi lemak dan pilihan lauk lain terlebih manis... Rasenye kalu g hri2 boleh kena diabetes ??.. Overall ok lahh!!
Abe R,2 years ago,Always heard about Wanjo from my nephews.Hence it was a must for me to also try out their Nasi Lemak.Dang ! My NLemak Ayam Goreng & Sambal Sotong was fabulously delicious.
Frederick Thew,a year ago,"Sweet nasi lemak. Spicy level is the tourist level. Sweet and not spicy at all. Chickens are on the hard side, not tender."
Muhamad Asywadi,3 years ago,Nasi lemak is good. Nasi is sebutir sebutir because it is kukus-ed. Sambal is not the best I've had. Paru is not that good. Rendang is good. Service is good. Parking can be found easily at RM5. But I had high hope for this nasi lemak because of the rave reviews.
azlan abdul aziz,3 years ago,"This place have been around a very long time in iconic Kampong Bahru. This is only the second time I am tasting the nasi lemak with the choosing of your own favourite lauk, be it with meat, cuttlefish, chicken, or limpa( don't know what's its called in English). My opinion the best nasi lemak in town. Will for sure go again when the cravings gets to me!."
Zahri Muda,8 months ago,Nasi tak banyak sgt kena tambah nasi hehehehe rendang ayam sedap tapi sejuk
Nia Kurniasih,4 years ago,"I've tried nasi lemak here and there in Malaysia and this one is so far the yummiest of all despite its moderate prices. The spicy beef with coconut sauce is the second best next to Rendang. The owner has been very hospitable too and the staff is efficient. Next time I'm in KL again, I'll definitely go there again for the food."
hakimi,8 months ago,Mahal nk mampus..org KL mmg benak kot byr mahal2 lps tu ckp sedap..ye la da byr mahal takkan nk kata tak sedap pulak
Rama Novta Miraldi,4 years ago,"Very good nasi lemak, eventough many cat in there but it really amazing food"
Joseph Foo,3 years ago,"Had nasi lemak at the shop in the evening. The nasi was nice but not as flavourful as I hoped. The dishes were cold and limited. However, the staff were friendly and service was good. I will suggest maybe going in the morning or early afternoon will probably be better."
Andrew G Gopal,2 years ago,"Set in the heart of Kampung Baru, I feel this Nasi Lemak over shadows the more famously known Antarabangsa. The crowd justifies this. The rice is fluffy top with sambal which is slightly sweet for my liking. Rendang chicken, fried chicken and sambal chicken is decent. Good and systematic service for eat it or take out."
SITI AINI,9 months ago,Very nice nasi lemak..good taste also...can go there again....yum2
Soofish H,4 years ago,"So far one of the best ones I’ve tried. Tasty sambal, juicy chicken, good service and surprisingly pretty clean because cleanliness is not something you normally encounter in Kampung Baru or most gerai in general. I take away one star because they’re not that generous with sambal and rice. "
meor hafizan,3 years ago,You want the best nasi lemak in KL area? This is the place.
muhd asyraf,a year ago,Love the food. The sambal its not spicy can be eat who want to try for the first time. Its better to eat while the food still hot. Will repeat again for sambal kerang??
Mohamed Elfy Mohd Khalid,a year ago,Good space for dine in... Clean & fresh
Ridh Abd,2 years ago,I can tell you something..It's not that tasty nor that yummy..No parking space for cars too..
cik nadia,5 months ago,Rasanya indah khabar dari rupa. Harga memang
Saiful Azhar,3 years ago,Best nasi lemak in town. The rice has just enough coconut milk inside it and the sambal taste so good you'll want to ask for extra. Can't give 5 stars because a bit pricey for a nasi lemak.
Aina Zuhairah,3 years ago,"rasa sedap tapi untuk rm4 nasi lemak biasa, nasi dia sikit. lain semua okay, nasi je sikit. next time kalau pergi mungkin saya beli 2 nasi ahahahah."
Kogelavani Arumugam,a month ago,The ayam sambal i think almost going to spoil
Elly Kash,a year ago,Rude staff manning the nasi lemak & drinks counter! The lady at the nasi lemak counter didn't bother asking me which part of the chicken that I wanted. She was making faces when I told her that I wanted a different part of the chicken than the one given!
Amir Zunaidi,a year ago,"good atmosphere, good food, but the rice portion is a bit small, so if come here with hungry stomach, make sure u tell them to put more rice for u. the price is ok for KL"
Johanna Koch,8 months ago,Nice local place and very cheap. The nasi lemak tasted amazing!
Abdul Jabbar Abd Hamid,3 years ago,Tempat best untuk makan/beli nasi lemak.Memang favorite port untuk keluarga dan rakan-rakan
Aidyl Sulaiman,2 years ago,"Sedap.kedai dibuka seawal jam 7 pagi.bagi penggemar nasi lemak,pastikan anda merasai nasi lemak Wan Jo kampung baru."
Hanif Mohamed Talha,a year ago,"Great food and systematic to get food. 1 Lane for dine-in, and 1 lane just for takeaways. Long queue but very fast serving. Varieties of dishes to go with nasi lemak. I like the rendang limpa"
007dcr007,a year ago,One of the best if not the best nasi lemak i have tasted. Its at a different level from other nasi lemaks i have tasted. Will look forward to having it each time when in KL
Wanjoe Wanjoe,9 months ago,kebetulan nama aku pon wanjo.. jadi memang terbaik nasi lemak kat sini.. padu.
biela b,2 years ago,"Datang jauh nak cuba makan nasi lemak wanjo, tapi datang datang je tengok 80% pekerja mask letak kat dagu. Baik tak payah pakai mask kalau mcm tu. kes covid tak turun lagi, kenapa sebegitu ringan ambik mudah SOP"
Melena Aziz,a year ago,Nasi lemak tk di nafikan sedap..tpi yg paling frust q utk take away slow nak mampos..yg dine in lagi laju kot.. dri kul 8-8.45 anggarran dlm 10 org di depan masih tk settle pelik jugak..lebih baik dine jer tpi tmpt pack pulak..
Waz Ab,4 years ago,Great tasting Nasi lemak. This is a popular place. They just started serving in the evening too to complement their morning hours. Their extra topping choices like rendang and chicken and cockles are delicious. Two thumbs up!!
Maerzad Mohamed Nazmi,4 years ago,"Okay Nasi lemak place. It has awesomely good fried chicken though! Couple that with freshly fried egg, we have ourselves a winner. While at that, the front of the shop also has a blended fruit drink stall which is also good. Tempe here is so so."
roshydan _95,3 years ago,Berbaloi. Antara nasi lemak yang tersedap di Kuala Lumpur. Harga di sini amat berpatutan dan servis di sini juga pantas sekali. Amat recommend bagi sesiapa yang datang singgah ke Kampung Baru.
Dottie Affendi,3 years ago,"Great nasi lemak ! Delicious sambal and rendang. A lot of food choices, good for nasi lemak lover. The environment is lively and nice, the restaurant are clean. The service is great and very friendly. Nice. Suitable to come with family and colleagues. The problem is the parking is limited"
MTajulUrus Tajuddin,3 years ago,Simply Superb & Amazing tasty Nasi Lemak.!!
Pro Trekter,a month ago,Nice place to dine-in when it not on peek hours. 
Kenneth Ford,7 months ago,"Little bit to busy, but I really like lthe Nasi lemak"
kharmizan japar,a year ago,I think this place overrated.. the taste.. so-so.. sedap la jg.. the price standard kl price la.. theres a lot stall serve delicious nasi lemak with cheapers price.. but if u want to dine in with children this is the right place for you.. they follow SOP and the place is spacious..
CHE AZIZAH CHE KHALID,a year ago,"Nasi lemak was just ok, not bad but overrated. My sambal sotong masih hanyir. But very comfortable and convenient place for family outing."
Idra Dhom,4 months ago,The food no quality at all..rice potion too little
Raihan Ean,a year ago,Servis & sistem okay sebab dia asing line bungkus dan dine-in. Meja pun banyak. Banyak pilihan lauk. Tempat bersih. Cuma sambal manis sikit.
Kevin,a year ago,My favorite place to have Nasi Lemak in KL!!Food is delicious and prices very fair.Also love the smothies
Damien Donnelly,4 months ago,Great authentic food at reasonable prices and clean
Ahmad Masyhur Jahaya,a month ago,Come before 6.40am if you don't want to que.Parking: Best to use LRT if you're coming for lunch
Yatie Cha aka Kakyatt Lekir Sitiawan,6 months ago,"Nice place to hang out. Love the fruit juice smoothies, affordable and delicious."
Syamaizar Namrum,a year ago,Nasi lemak biasa ajerr tapi harga kayangan. boleh la pergi kalau takde pilihan lain sangat.
Nik Md Fakhruddin,a year ago,nasi lemak memang sedap. Ayam goreng pun rangup. Servis pun cepat. Cuma nak cari parking...azab nya.
Siti Ainshah,4 years ago,"Nasi lemak dia memang purely rasa nasi lemak..rasa bau pandannya..sambal terbaik..customer service pun terbaik..siap bg free vitagen lg untuk budak2..jus buah murah dan terbaikk, rm5 ja.."
Andy Bro,4 years ago,Very helpful staff make it easy to get an outstanding meal very quickly.Canteen style service and dining. Spotlessly clean.Very tasty chicken curry with all the trimmings and rice. Excellent.
Siti Sri Rahayu Lamsah,a year ago,Beratur pepagi buta nak makan nasi lemak sini. Service laju.banyak pilihan sambal dan lauk. Jemput datang makan.
liza azman,a year ago,Rasa biasa je..Sambal x pedas.Nk mkn pagi2 xda bnyk sngt org dlm jam 8pagi. Tpi parking.. Sendiri mau cari. Nk msuk dlm tu jem
Amirul Amat,3 years ago,"I’m nasi lemak sambal sotong die hard fan and normally I give rating from all aspects. 1stly the sambal was bad, cili tak cukup masak. 2nd, sambal sotong also the same thing even worst package with rubbery feel. Bilis was from low grade "
Rafi Abdrahman,4 months ago,Good experience to eat here
Mr Dwen,a year ago,Makanan semua memang sedap..harga agak keras sikit..Tapi berbaloi la..Lemak Santan nasi tu memang terasa..
Azam Murad,a year ago,"The food was okay, my opinion the price need to reduce a bit. Even want to eat inside aircond place also need to charge RM1 per person."
Qamarul Reza,10 months ago,"The only word i can describe, the nasi lemak and lots of varities can be choose from is ""Power!"". Love the sambal!!"
Zhou Zhen,5 years ago,"I came at 4pm. The chicken and beef-lung is not warm, a bit cold. I dont know what is the red chili sauce called but it's the soul of the dish. It's really good, sweet and a little spicy. I deep everything with that sauce and it tastes like heaven! Overall it costs RM 12.2 included ice milk tea. A bit pricey compared to others but still an appropriate price. Definitely come back here in the morning so that I can try warmer/ hot foods."
Astri Novirianty,2 months ago,So delicious!
Dea Meixiang,3 years ago,"the nasi lemak is soo good!! the sambal is not too spicy, just nice, the rice is so fragrant, the nut and the anchovies is very crunchy!! delicious and very cheap!! will come again!!"
Asmidar Hani Mohd Shaaya,a year ago,Makanan sedap...cuma ada certain staff yg muka kerek...menyombong..minta tambah lauk & kuah buat muka...geleng² kepala...
Wan Ikhwan Aris W Ismail,11 months ago,"If you like your nasi lemak 'sebutir-sebutir'. The sambal is nice but on the sweet side.. The telur goreng is fully cooked, not runny."
Henzman Kumpul,2 years ago,Actually I ate at a restaurant near this one yesterday. But the last time I am here the nasi lemak was ok. Lot of options for lauk. And to be honest taste wise is bit better than nasi lemak antarabangsa.
Rosniza Maria,a year ago,The food was good. Worth the money
Evans W.,3 years ago,"Doesn't deserve the hype. Sambal too sweet, rice grain still a bit hard,  overpriced. Should change it to Nasi Campur. Lacking the lemak in the rice. That happens when you sacrifice quality for quantity.Would I come back again? No.Will I recommend to my friends? Never."
Asri Hishamuddin,3 years ago,"Sebagai tempat nasi lemak, nasi lemaknya boleh tahan. Sedap. Pekerja semua cekap bila tempat sedang sibuk. Mahal itu biasalah, kolumpo. Tapi saiz hidangan kecil berbanding kedai-kedai nasi lemak lain di kawasan Kg. Baru."
Yusman Y,7 months ago,"No parking here, you park elsewhere then come walking here.Nasi lemak biasa2 jer"
amer,a year ago,"nasi lemak is quite pricey, the sambal is bitter, you could get a better nasi lemak from other warung"
Lily,4 years ago,"Expensive. Nasi lemak ayam biasa orang jual 5.50 je. Makan dua orang pun setakat lauk ayam nak dekat 20. Ko raseee?? Not satisfied. First n last datang. Nasi lemak cinta sayang, nasi lemak city garden is recommended."
Gopinath Ramasamy,5 years ago,"If you are fan of Nasi Lemak, don't ever come here. It's the worst food ever. Too pricey, very small portion and horrible taste. The way they served food was very bad"
nizam gangstar,2 years ago,"Yang menggunakan kenderaan untuk datang makan di kedai ini, lebih baik letak di tempat letak kereta berbayar.. tak perlu berharap sangat dapat tempat letak kereta berhampiran dan percuma.. laluan utama dan sentiasa sesak.. harga berpatutan.. makanan baik dan puashati.."
mohamad azni,a year ago,Meja banyak selesa mkn walaupun ramai org .
shukor j,a year ago,"Definitely worth a revisit given the new, clean and spacious premise and excellent menu to go along with the ever aromatic nasi lemak at very competitive costs."
Hafiz Salleh,4 years ago,Must try...best nasi lemak in town
Sem Sem,10 months ago,Good but not extraordinary. The quantity of rice is small and the sambal is extra sweet
mohamad azlee,3 years ago,Not as great as the sambal buzzed to be. Unless you really craved for Nasi Lemak & it's piping hot would the experience be worthwhile. Still better than most served at small eateries.
mr hizam,11 months ago,"Takde 4.57??, sedap nasinyer dan kawasan bersih, resit ja takda, kalau tak dah bagi full 5"
Liza Azila,9 months ago,Sedap nasi lemak dia. Brp Kali dah ulang ni. Mmg best
Jonu Dslugo,4 years ago,"Famous with foreigners/tourist. Maybe because their sambal is not spicy. It was too sweet for me tho. Price is ok, not cheap but not expensive either. Got a nasi lemak with extra rice & a chicken rendang(1/4) for RM9.(attached photo)"
Khairizal K,a year ago,Decent nasi lemak. Boleh di kenal kan kpd pelancong. ?? Opposite kedai ni ada parking best.
Faisal Mohamad,2 years ago,nEw Norma look & style;;; well done @ 12/07/2021 (08:15am) just visited
Traveler Forever,3 years ago,Nasi lemak yang amat sedap. Cuma yg x berapa best ialah jalan jem nak masuk sini. Parking pun susah. Apapun berbaloi datang. Kedai pun dh moden dan bersih. Boleh la rekomen kawan-kawan.
Noreharizan Masari,2 years ago,To me this is one of KL's best nasi lemak place. I know there are plenty but l love the choices that are offered here and the sambal is done just the way i like it.... A bit sweet but not too hot.. Just plain yummy
Raffiq Izzat,a year ago,Wasnt as good as the hype. A normal plate of Nasi Lemak with little portion of rice. But still unsure why there are so many people here
Stacey Stokes,4 years ago,Came here for breakfast for the Nasi Lemak and was not disappointed. Delicious!
R. Nazrin Khan,2 years ago,"It serves the usual nasi lemak with add on,  like fried chicken, sambal shackles or squids, and even rendang chicken or beef.  Very very common.My opinion of its food is acceptable but nothing spectacular."
faizam samad,8 months ago,I haven't been here for a long time.. it's new!
Tajol Arif4677,5 months ago,Nasi lemak sedap di kampung baru .
Sabrina,3 years ago,One of the more cleaner stores in kampung baru.Sambal is great . Rice can be a little inconsistent but still good
Yusli,a year ago,Nasi lemak sini biasa2 saja. Popular sebab diviralkan saja. Apapun lauknya pelbagai dan agak menarik
Regina Lee,4 years ago,"Great place for some authentic nasi lemak. Very fluffy santan rice with sambal that is not too overpowering. It's not terribly spicy and slightly on the sweet side, which may be an acquired taste for some locals who want sambal that can pack a punch in the gut and bowels."
Zikir Adam,2 years ago,"mediocre nasi lemak stall but have a variety of other lauk eg. kerang, paru-paru"
Faisal Rahim,5 months ago,One of the best Nasi Lemak out there.
Azmi Rahman,5 years ago,"Nasi Lemak is tasty, rice itself rich with flavor and the sambal is the star of the show. Sambal kerang is alright, I prefer sambal sotong more. A little expensive for a Nasi Lemak but I guess that's the standard these days especially at that area. Seatings are proper and spacious; and better lit. Parking at this area is always a problem, so there's nothing to say about it."
Johari Afiq,a year ago,Worth trying out their food (only nasi lemak served here)... sweet n spicy.. the price for nasi lemak sotong is RM 8... Spacious seating area.. buat parking is a bit limited.
Hendra Asmady,3 years ago,"Although there is usually a queue, it's moving quite fast as they have many staffs to assist you. Only problem is the number of seats so typically people shouldn't be taking their own sweet time and should just move once they're done eating"
Kuruvilla C.K.Joseph,5 years ago,"Overrated. Sambal tastes too strong and sweet. Doesn't look or taste like freshly ground chili. Tastes more like it's made using chilli boh. Pricey too. RM8 for a plate with egg and fried chicken. Fried chicken tasted quite nice. Will I crave for this nasi lemak? Definitely not! Have tasted much better nasi lemak sold by the roadsides in the morning. Need to factor in the parking charges too: RM5 per entry. Drinks are not freshly made, pre-made: milo ais, kopi ais, teh ais. Overall, DISAPPOINTED! 4/10 Max!"
kav,4 years ago,"This is kind of too overrated compared with other stalls. Let me start off from pricing, 4 ringgit for a basic nasi lemak including rice, cucumber, egg and sambal is too overpriced and yet it only gives such a less amount of it. The pricing for add ons are reasonable."
Mohamad Arsaf,a year ago,Expertise in nasi lemak ..Variety choice of sambal.Affordable price
Noor Hayati Abdullah,a year ago,"Food is quite expensive , 2 person will cost you about RM25.00.Dietary restrictions: Tasty sambal and nice place to eat."
deby Gorgeouz,3 years ago,Ayam masak merah was my fav. The Sambal and the fried anchovies just perfect.
Maria Prapaska (MPrapaska),4 years ago,"If you are near by Twin Tower, please make sure to visit this restaurant.. Nasi lemak dan lauk nya itu juara!"
Ain Nadzri,4 years ago,The authentic nasi lemak.. Price so worth with all the variety of side dish and awesome sambal
Ikram Hassan,2 years ago,Great food! A bit pricy but worth it. Make sure to ask for extra rice!
Izwan Asraf,4 years ago,Sambal is the best. Price of a nasi lemak still above average.
Syah Hammim,3 years ago,"If u like nasi lemak with not spicy n sweet sambal, this is the place"
nana atie,4 years ago,i like the menu but very hard dor car parking
muhammad shaheen Abu,3 years ago,"Nice food, friendly staff. Parking is a challenge, place is hot in mid day. Open daily 630am to 1am"
norhanom hashim,3 months ago,Delicious nasi lemak.Wheelchair accessibility: Spacious
Waie E.,4 years ago,"Im not a fan of nasi lemak here. But based on the crowd, others love it"
Wan Azuar,6 months ago,One established nasi lemak place.
Azleena Mansor,a year ago,"Not my favourite. Sambal, sotong, cockles was too sweet"
SweetLee Tan,a year ago,"Nice masak merah chicken, good portion, quick serve."
Liyana huldschinsky,11 months ago,Was ok. Efficient. Systematic. Not that long if a queue. Food was ok.
Nurul Fatehah Fauzi,4 years ago,"Shop is clean, the nasi in nasi lemak was decent but sambal is a let down for me"
Jaclyn Lim,a year ago,The sambal sotong and fried chicken is mediocre only..Disappointed with the taste.
Price for a regular nasi lemak is cheap for me and nothing diffrence here...just so so only,4 years ago,Price for a regular nasi lemak is cheap for me and nothing diffrence here...just so so only
ramli din,10 months ago,Easy parking space opposite wanjo only paid rm5
Ahmad Zubir,4 years ago,Nasi Lemak with good choice of accompanying dishes. Crowded though. Parking your car? Good luck.
anish Vanessa,a year ago,Sambal taste burn. Would prefer a little bit of savoury sambal.
Azim Azlan,a year ago,Not achieve my expectation. Nasi Lemak Ujang Corner much better.
Badger,5 years ago,Famous long-running place in KL for nasi lemak. Sambal so delicious.
M.Ezwan Saifuddin,3 years ago,Nothing special .. very pricey for a nasi lemak .. i have taste a better nasi lemak than here
Samat Talib,5 years ago,The best Nasi lemak in KL
fiza amran,2 years ago,Piping hot nasi lemak served with their special sambal.Tasty and variety recommended
Shiro Yasha,8 months ago,Sedap.. soo affordable for me who is still student
Zuraida Yaacob,a year ago,"Fast service, clean place & delicious nasi lemak.Parking: Difficult to find a parking...have to take a Grab here or walk"
Netty Ghaz,4 years ago,Best nasi lemak in town! Been here since my childhood days. Keep it up Wanjo crews.
Shaharom Faiz,5 years ago,The sambal is too sweet. I am from Negeri Sembilan...we don't like sugar in our sambal
Nuranim Abd Rahman,3 years ago,The sambal is very nice and not spicy. Good place to eat. Recommended.
Mohd Kamil,4 years ago,Truely delicious nasi lemak. Clean and comfortable place to eat. Ooh..and clean toilet too!
Thirann Subramaniam,4 years ago,One of the best nasi lemak in town. They have many lauk to choose from.
Muhammad Zul'Aizat,6 years ago,"Provide the best Nasi Lemak in the city...Great sambal, fast, and the price is affordable. Must visit guys!!"
Hassan Zarikah,a year ago,Queue to enter was fast and so is the serving. Taste=3/5. Price $$$
abdullah mansoor,6 months ago,Delicious foods 
Zul Fadli,2 years ago,"nice environment, food taste good with multiple choices of sambal nasi lemak"
Radhia Rasul,9 months ago,"Nothing special about this place. Small portions, overpriced.Parking: First come, first served street parking. Paid parking opposite the restaurant at rm5."
LSD LSD,3 years ago,Tasted better ones but overall is okayy. Not bad alot of choices and size of chicken is big
ban chuan teo,2 years ago,Food was ok ok aje la..The queue was constant and long...Price ain't that worth it..
Ahmad Rashidi Zainudin,3 years ago,The best nasi lemak in KL. The rice and sambal are super nice
Anne Abbot,5 years ago,The rice is under cook. Sambal too sweet.Fried chicken lifeless and cold. Highly not recommended.A big No No
riani riez,3 years ago,Tasty nasi lemak... must try. They give free yoghurt to children who go there wirh their parents
Noora Affy Kay,4 years ago,Nasi lemak was ok especially sotong sanbal. But not the bergedil and beef paru
adam ibrahim,11 months ago,Good nasi lemak served here..
Fatin Suhaimi,3 years ago,Its not like super delicious. I have tasted better.. but the food selection was nice.
H. M. Al-Amin,6 years ago,Good restaurant. You can get pure Malaysian food there. I enjoyed the foods with my Malaysian colleagues.
Ng Fook Woon,5 years ago,"One of the oldest nasi lemak stall in KL, close on Tuesday, starts again from 3 pm to midnight."
Kent Low,a year ago,So far the best nasi lemak in town
Nik Faris,5 years ago,"Not bad at all. If you are looking for nasi lemak for breakfast, you cannot go wrong here."
Guragas The,3 years ago,Baik ahhh this place. Nasi lemak with limpa. Just amazing vibe ahhh. Must go again when in kl. Must must must
abdul razak abu bakar,4 years ago,Use to be really good but lately the food is just OK. Service is OK and sitting area is spacious though it can be quite crowded.
Ahmad Ragab,4 years ago,Very nice restaurant. Lamp good taste. And also have more kind of chicken perfect. I like
Ri Niah,a year ago,"As of 20/09/2022, the pathways are being built, so there's some difficulty to access to the premises."
Donald Gasieng,5 years ago,"Fragrance rice, sambal sweet and spicy, rendang daging best, crunchy anchovies.."
Crazee Hiroki,3 years ago,Varieties of nasi lemak to chose.. Plenty of drink u can chose.. Nice place.. Warm welcome of staff..
Hajar Azmi,a year ago,love the nasi lemak and very efficient order service too
Nobel Aqualdo,a day ago,Tempatnya bersih dan luas meskipun kalau datang siang hari terasa panas dan cukup gerah didalamnya. Dari segi rasa tidak berbeda jauh dg nasi lemak lain di Selangor dan KL tapi dg harga diatas rata rata. Sambel nasi lemaknya aliran manis. Tersedia baby chair.
Z MS,7 hours ago,"Just had to come back here for authentic nasi lemak and most importantly for their fresh fruit smoothies! Mango Smoothie here is the best so far in KL!  Sorry! No photo, too excited to eat! HahahaVegetarian options: Not much except for just fried egg, cucumber and begedel (potato pancake). I don't eat meat either but I tasted  the gravy only for both Ayam Masak Merah and Daging Rendang - very flavourful.Parking: There is a residential unit just across the small street at  Wanjo that operates a small car park within their premise. Very reasonable price!"
Aqil Amiril,a day ago,"When i looking for dinner place, i ordered grab to another nasi lemak restaurant. And the grab driver recommend Nasi Lemak Wanjo Kampung Bharu. Their staff so nicely welcoming us and give us recommendation menu. The foods was so good and i fall in love with the taste, the rice, sotong, ayam, etc. I love them all, when i go back to hotel i ordered again for take away."
Yahya Tayin,3 days ago,"Okey la sambal nye kurang pedas,layanan tiptop"
izuwan shah,3 days ago,Nasi lemak sedap.
Fari E,a month ago,"We had nasi lamak with 2 different types of chicken and beef randang, food was really fresh and.very tasty, simple yet delicious food at very reasonable price .great customer service with a smile.deffo worth a visit, you will not be disappointed."
Dicky Taruna Kim,5 days ago,"Mantap, sesuai harga... wajib cobain perkedel / bergedil bahasa orang melayu... rendang ayam, rendang daging oke..."
MF H,a week ago,Mmg skali jela aku mkn sini haha.Aku bkn jenis suka buang2 mkanan so aku habiskn jela hakikatnya rasa biasa sgt. Aku harapkn wow sbb rmai review sedap haha rupanya hurmmm. Tpi 1 yg bagus kedai sentiasa bersih ini bagus.
Baitul Muizza,a week ago,Nasi Lemak wanjo Mantap
